Item,Reference(s),Value,Quantity,Description,PartNumber,Vendor
1,ARDUINO1,ARDUINO_MEGA,1,BOARD MCU MEGA2560,1050-1018-ND,digikey
2,C1 C2 C3,10uF,3,CAP CER 10UF 50V 10% X7S 1210,445-4536-1-ND,digikey
3,C4 C5 C6 C7,0.1uF,4,CAP CER 0.1UF 50V 10% X7R 1210,478-3586-1-ND,digikey
4,D1 D10 D11 D12 D13 D14 D15 D16 D17 D18 D19 D2 D20 D21 D22 D23 D24 D25 D26 D27 D28 D29 D3 D30 D31 D32 D33 D4 D5 D6 D7 D8 D9,LED_24V,33,LED 2MM 24V VERTICAL RED PC MNT,350-1723-ND,digikey
5,P1,PWR_JACK_2.5x5.5,1,CONN PWR JACK DC 2.5X5.5 8A T/H,CP-063BH-ND,digikey
6,P10 P11 P8 P9,HEADER_02X08_SMD,4,CONN HEADR 2.54MM 16POS GOLD SMD,S9187-ND,digikey
7,P2 P3 P4 P5,HEADER_01X03_SMD_RA,4,CONN HEADER 3POS R/A SMD GOLD,A100890CT-ND,digikey
8,P6,HEADER_01X02_SMD_RA,1,CONN HEADER 2POS R/A SMD GOLD,A100903CT-ND,digikey
9,P7,BNC_DOUBLE_RA,1,CONN BNC JACK R/A 75 OHM PCB,ACX1655-ND,digikey
10,REG1,CONV_DC_DC_12V_1A,1,CONV DC/DC 1A 12V OUT SIP VERT,945-1392-5-ND,digikey
11,SW1,SPST_SLIDE_AS,1,SWITCH SLIDE SPST 0.4VA 28V,360-2610-ND,digikey
12,U1 U2 U3 U4,TLE7230R,4,IC SW SMART OCTAL LOWSIDE PDSO36,TLE7230RCT-ND,digikey
