Item,Reference(s),Value,Quantity,Description,PartNumber,Vendor
1,C1 C3,0.1uF,2,CAP CER 0.1UF 50V 10% X7R 1210,478-3586-1-ND,digikey
2,C2,47uF_2917_POL,1,CAP TANT 47UF 35V 10% 2917,399-3821-1-ND,digikey
3,D1,diode_schottky_45V_10A,1,DIODE SCHOTTKY 45V 10A CFP15,568-11697-1-ND,digikey
4,MDT1,MODULAR_DEVICE_TEENSY_MALE,2,16 Position Header Through Hole Male Pins,S1011E-16-ND,digikey
5,P1,TERM_BLK_ANG_4_PIN_0.2_PITCH,1,TERM BLOCK 4POS 35DEG 5.08MM,A98350-ND,digikey
6,P2,PWR_JACK_2.5x5.5,1,CONN PWR JACK DC 2.5X5.5 8A T/H,CP-063BH-ND,digikey
7,R1,143,1,RES SMD 143 OHM 1% 1/2W 1210,P143AACT-ND,digikey
8,R2,39.2,1,RES SMD 39.2 OHM 1% 1/2W 1210,P39.2AACT-ND,digikey
9,S1,HEADER_01X02_SHR,1,CONN HEADER 2POS .100 VERT GOLD,WM4800-ND,digikey
10,SW1,SPST_SLIDE_AS,1,SWITCH SLIDE SPST 0.4VA 28V,360-2610-ND,digikey
11,SW2,SPST_PUSH_LIGHTS,1,Pushbutton Switch SPST-NO Standard Illuminated Through Hole,360-2461-ND,digikey
12,SW3,KT_SWITCH,1,SWITCH TACTILE SPST-NO 1VA 32V,CKN1860CT-ND,digikey
13,T1,TERM_BLK_2_PIN_0.1_PITCH,1,TERM BLOCK 2POS SIDE ENT 2.54MM,A98333-ND,digikey
14,U1,L6470,1,Bipolar Motor Driver DMOS SPI PowerSO-36,497-16432-1-ND,digikey
15,U2,MAX6817,1,IC DEBOUNCER SWITCH DUAL SOT23-6,MAX6817EUT+TCT-ND,digikey
