Item,Function,Quantity,Description,PartNumber,Vendor
1,CONNECTORS,32,CONN HOUSING 2POS .100 SINGLE,WM2800-ND,digikey
2,CONNECTORS,64,CONN TERM FEMALE 22-24AWG GOLD,WM2512-ND,digikey
3,CONNECTORS,64,CONN TERM FEMALE 24-30AWG GOLD,WM2513-ND,digikey
4,CONNECTORS,4,CONN IDC SKT 16POS W/POL 15 GOLD,AKC16H-ND,digikey
5,CONNECTORS,1,CBL RIBN 16COND 0.050 MULTI 300ft,MC16M-300-ND,digikey
6,CONNECTORS,4,CONN IDC PIN 16POS 30AU NO LATCH,APK16B-ND,digikey
7,CONNECTORS,32,CONN HOUSING 2POS .100 W/LATCH,WM2900-ND,digikey
8,CONNECTORS,64,CONN TERM FEMALE 22-24AWG GOLD,WM2570-ND,digikey
9,CONNECTORS,64,CONN SOCKET 24-30AWG CRIMP 30AU,WM2572-ND,digikey
10,CONNECTORS,32,CONN HOUSING MALE 2POS .100,WM2533-ND,digikey
11,CONNECTORS,64,CONN PIN 24-30AWG CRIMP 30GOLD,WM2566-ND,digikey
12,CONNECTORS,64,CONN TERM MALE 22-24AWG GOLD,WM2567-ND,digikey
